Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,White,Black or African American,Asian,American Indian and Alaska Native,Hawaiian and Other Pacific Islander,Two or More Mixed,Other
10128,60121.0,38.8,96296.0,89300.0,4560,7.58470417990386,49632.0,2691.0,5800.0,41,6,1218.0,733.0
10152,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10153,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10154,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10162,1327.0,39.7,168667.0,106304.0,0,0.0,1213.0,0.0,95.0,0,0,19.0,0.0
10165,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10167,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10168,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10169,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10170,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10171,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10172,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10173,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10174,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10177,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10199,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10271,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10278,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10279,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10280,8685.0,37.9,129574.0,82005.0,428,4.928036845135291,6045.0,75.0,2002.0,0,0,370.0,193.0
10282,6217.0,33.9,230952.0,121627.0,132,2.123210551713045,4259.0,47.0,761.0,20,0,356.0,774.0
10301,38885.0,34.7,56848.0,27952.0,7490,19.261926192619264,23551.0,9375.0,2073.0,129,0,1255.0,2502.0
10302,16811.0,34.0,56841.0,24198.0,4278,25.44762357979894,10299.0,3420.0,1101.0,0,0,497.0,1494.0
10303,24537.0,31.1,51537.0,22077.0,5356,21.82825936341036,9751.0,8935.0,1746.0,117,0,1058.0,2930.0
